cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
env_6_hold,env_6_hold,0,0,1.41421353816986,Envelope 6 Hold,547,Envelope 6 Hold,547,Envelope 6 Hold
env_6_release,env_6_release,0.547599971294403,0,2.37842011451721,Envelope 6 Release,87,Envelope 6 Release,87,Envelope 6 Release
env_6_release_power,env_6_release_power,-2,-20,20,Envelope 6 Release Power,88,Envelope 6 Release Power,88,Envelope 6 Release Power
env_6_sustain,env_6_sustain,1,0,1,Envelope 6 Sustain,89,Envelope 6 Sustain,89,Envelope 6 Sustain
eq_band_cutoff,eq_band_cutoff,80,8,136,EQ Band Cutoff,90,EQ Band Cutoff,90,EQ Band Cutoff
eq_band_gain,eq_band_gain,0,-15,15,EQ Band Gain,91,EQ Band Gain,91,EQ Band Gain
eq_band_mode,eq_band_mode,0,0,1,EQ Band Mode,549,EQ Band Mode,549,EQ Band Mode
eq_band_resonance,eq_band_resonance,0.447299987077713,0,1,EQ Band Resonance,92,EQ Band Resonance,92,EQ Band Resonance
eq_high_cutoff,eq_high_cutoff,100,8,136,EQ High Cutoff,93,EQ High Cutoff,93,EQ High Cutoff
eq_high_gain,eq_high_gain,0,-15,15,EQ High Gain,94,EQ High Gain,94,EQ High Gain
eq_high_mode,eq_high_mode,0,0,1,EQ High Mode,95,EQ High Mode,95,EQ High Mode
eq_high_resonance,eq_high_resonance,0.316300004720688,0,1,EQ High Resonance,96,EQ High Resonance,96,EQ High Resonance
eq_low_cutoff,eq_low_cutoff,40,8,136,EQ Low Cutoff,97,EQ Low Cutoff,97,EQ Low Cutoff
eq_low_gain,eq_low_gain,0,-15,15,EQ Low Gain,98,EQ Low Gain,98,EQ Low Gain
eq_low_mode,eq_low_mode,0,0,1,EQ Low Mode,99,EQ Low Mode,99,EQ Low Mode
eq_low_resonance,eq_low_resonance,0.316300004720688,0,1,EQ Low Resonance,100,EQ Low Resonance,100,EQ Low Resonance
eq_on,eq_on,0,0,1,EQ Switch,101,EQ Switch,101,EQ Switch
filter_1_blend,filter_1_blend,0,0,2,Filter 1 Blend,102,Filter 1 Blend,102,Filter 1 Blend
filter_1_blend_transpose,filter_1_blend_transpose,42,0,84,Filter 1 Comb Blend Offset,103,Filter 1 Comb Blend Offset,103,Filter 1 Comb Blend Offset
filter_1_cutoff,filter_1_cutoff,60,8,136,Filter 1 Cutoff,104,Filter 1 Cutoff,104,Filter 1 Cutoff
filter_1_drive,filter_1_drive,0,0,20,Filter 1 Drive,105,Filter 1 Drive,105,Filter 1 Drive
